Sale ID,Date,Customer,City,Category,Product,Unit Price (EGP),Qty,Total (EGP),Rep
EG-IT-1016,2023-11-23,Raya Holding,Cairo,Cloud Services,Local Data Center Hosting,64483,6,386898,Mariam Zaki
EG-IT-1017,2023-07-16,Fawry,Giza,Cloud Services,Azure Managed Svcs,12307,4,49228,Yasmine Mahmoud
EG-IT-1018,2023-08-07,Elsewedy Electric,Tanta,Cloud Services,Azure Managed Svcs,31002,2,62004,Mohamed Ali
EG-IT-1019,2023-10-09,QNB Alahli,Port Said,Cybersecurity,Penetration Testing License,16739,3,50217,Ahmed Mansour
EG-IT-1020,2023-04-26,Juhayna,Cairo,Software,Project Mgmt Tool,12369,54,667926,Sarah Hassan
EG-IT-1021,2023-03-03,Elsewedy Electric,Tanta,Consulting,Cloud Migration,234983,1,234983,Sarah Hassan
EG-IT-1022,2023-07-09,Raya Holding,Alexandria,Hardware,Server Rack v2,95908,16,1534528,Sarah Hassan
EG-IT-1023,2023-05-15,EgyptAir,Port Said,Consulting,IT Security Audit,111669,1,111669,Sarah Hassan
EG-IT-1024,2023-08-11,Orascom Development,Tanta,Software,HR & Payroll System,14557,56,815192,Mohamed Ali
EG-IT-1025,2023-03-11,Banque Misr,Alexandria,Software,HR & Payroll System,2771,11,30481,Mohamed Ali
EG-IT-1026,2023-09-24,Elsewedy Electric,Port Said,Cloud Services,Google Cloud Support,53411,7,373877,Mohamed Ali
EG-IT-1027,2023-01-17,Telecom Egypt,Giza,Software,ERP License (Arabic),9582,30,287460,Mohamed Ali
EG-IT-1028,2023-06-19,Juhayna,Cairo,Cybersecurity,Firewall License,23035,4,92140,Sarah Hassan
EG-IT-1029,2023-07-07,Juhayna,Suez,Consulting,Digital Transformation Strategy,127349,1,127349,Ahmed Mansour
EG-IT-1030,2023-04-06,EgyptAir,Tanta,Cybersecurity,Endpoint Protection,47879,9,430911,Mariam Zaki
EG-IT-1031,2023-07-20,Telecom Egypt,Giza,Consulting,Cloud Migration,91870,1,91870,Ahmed Mansour
EG-IT-1032,2024-01-01,CIB Bank,Tanta,Cybersecurity,Endpoint Protection,45832,9,412488,Mohamed Ali
EG-IT-1033,2023-04-01,Talaat Moustafa Group,Suez,Software,ERP License (Arabic),2207,81,178767,Mohamed Ali
EG-IT-1034,2023-12-23,CIB Bank,Tanta,Cloud Services,Azure Managed Svcs,13942,9,125478,Mariam Zaki
EG-IT-1035,2023-08-21,Banque Misr,Assiut,Software,CRM Subscription,2261,61,137921,Khaled Ibrahim
EG-IT-1036,2023-07-02,EgyptAir,Hurghada,Cloud Services,Local Data Center Hosting,13640,7,95480,Mariam Zaki
EG-IT-1037,2023-08-29,EgyptAir,Tanta,Software,HR & Payroll System,3088,85,262480,Mariam Zaki
EG-IT-1038,2023-06-22,QNB Alahli,Suez,Cybersecurity,Firewall License,25955,4,103820,Sarah Hassan
EG-IT-1039,2023-08-04,Talaat Moustafa Group,Assiut,Hardware,Laptop Pro X1,94022,14,1316308,Sarah Hassan
EG-IT-1040,2023-10-12,Elsewedy Electric,Assiut,Cybersecurity,Endpoint Protection,40541,8,324328,Mariam Zaki
EG-IT-1041,2023-03-21,Juhayna,Mansoura,Consulting,Digital Transformation Strategy,162646,1,162646,Sarah Hassan
EG-IT-1042,2023-10-14,Banque Misr,Suez,Cybersecurity,Firewall License,33286,6,199716,Khaled Ibrahim
EG-IT-1043,2023-05-25,Banque Misr,Suez,Cybersecurity,Firewall License,44575,8,356600,Sarah Hassan
EG-IT-1044,2023-02-14,CIB Bank,Tanta,Software,CRM Subscription,11005,19,209095,Mohamed Ali
EG-IT-1045,2023-03-03,Fawry,Cairo,Consulting,Digital Transformation Strategy,104690,1,104690,Mariam Zaki
EG-IT-1046,2023-11-18,Juhayna,Mansoura,Software,CRM Subscription,12736,53,675008,Khaled Ibrahim
EG-IT-1047,2023-12-09,Raya Holding,Tanta,Consulting,IT Security Audit,211475,1,211475,Mohamed Ali
EG-IT-1048,2023-01-05,QNB Alahli,Hurghada,Cybersecurity,Penetration Testing License,31896,4,127584,Yasmine Mahmoud
EG-IT-1049,2023-12-20,Talaat Moustafa Group,Hurghada,Software,HR & Payroll System,5059,97,490723,Ahmed Mansour
EG-IT-1050,2023-11-01,CIB Bank,Cairo,Software,CRM Subscription,9613,97,932461,Mohamed Ali
EG-IT-1051,2023-01-18,CIB Bank,Alexandria,Cloud Services,Local Data Center Hosting,20339,9,183051,Mariam Zaki
EG-IT-1052,2023-12-30,Orascom Development,Port Said,Consulting,IT Security Audit,70561,1,70561,Sarah Hassan
EG-IT-1053,2023-05-06,Fawry,Hurghada,Consulting,IT Security Audit,109868,1,109868,Sarah Hassan
EG-IT-1054,2023-07-14,Juhayna,Suez,Hardware,UPS Backup System,71698,18,1290564,Mohamed Ali
EG-IT-1055,2023-02-24,Juhayna,Assiut,Software,CRM Subscription,9908,66,653928,Sarah Hassan
EG-IT-1056,2023-02-15,QNB Alahli,Suez,Cloud Services,AWS Storage,50697,8,405576,Sarah Hassan
EG-IT-1057,2023-10-01,Telecom Egypt,Alexandria,Cloud Services,Local Data Center Hosting,37173,10,371730,Mohamed Ali
EG-IT-1058,2023-02-07,QNB Alahli,Suez,Cloud Services,Google Cloud Support,53851,5,269255,Mariam Zaki
EG-IT-1059,2023-11-09,CIB Bank,Tanta,Cloud Services,Google Cloud Support,36337,6,218022,Sarah Hassan
EG-IT-1060,2023-10-05,Banque Misr,Giza,Consulting,Cloud Migration,167222,1,167222,Khaled Ibrahim
EG-IT-1061,2023-04-25,Telecom Egypt,Giza,Hardware,UPS Backup System,71621,3,214863,Ahmed Mansour
EG-IT-1062,2023-01-12,Juhayna,Tanta,Software,Project Mgmt Tool,6774,34,230316,Sarah Hassan
EG-IT-1063,2023-12-31,QNB Alahli,Cairo,Cloud Services,AWS Storage,63694,6,382164,Ahmed Mansour
EG-IT-1064,2023-01-27,Elsewedy Electric,Mansoura,Cybersecurity,Firewall License,65257,1,65257,Mariam Zaki
EG-IT-1065,2023-12-12,Juhayna,Suez,Consulting,Cloud Migration,249403,1,249403,Ahmed Mansour
EG-IT-1066,2023-06-24,Banque Misr,Port Said,Cloud Services,AWS Storage,75879,1,75879,Sarah Hassan
EG-IT-1067,2023-03-18,CIB Bank,Giza,Software,HR & Payroll System,12273,44,540012,Ahmed Mansour
EG-IT-1068,2023-11-03,Talaat Moustafa Group,Port Said,Cybersecurity,Endpoint Protection,60660,6,363960,Mariam Zaki
EG-IT-1069,2023-10-21,Banque Misr,Giza,Consulting,Digital Transformation Strategy,149838,1,149838,Sarah Hassan
EG-IT-1070,2023-02-16,QNB Alahli,Tanta,Cloud Services,Google Cloud Support,25819,5,129095,Ahmed Mansour
EG-IT-1071,2023-11-23,EgyptAir,Giza,Software,ERP License (Arabic),9796,68,666128,Yasmine Mahmoud
EG-IT-1072,2023-03-18,Telecom Egypt,Alexandria,Hardware,UPS Backup System,145730,15,2185950,Sarah Hassan
EG-IT-1073,2023-10-25,CIB Bank,Suez,Cybersecurity,Penetration Testing License,75993,6,455958,Yasmine Mahmoud
EG-IT-1074,2023-09-06,Orascom Development,Suez,Cloud Services,Local Data Center Hosting,50778,1,50778,Mariam Zaki
EG-IT-1075,2023-01-09,Elsewedy Electric,Cairo,Software,CRM Subscription,14910,34,506940,Mohamed Ali
EG-IT-1076,2023-09-10,Orascom Development,Assiut,Software,ERP License (Arabic),9759,87,849033,Mohamed Ali
EG-IT-1077,2023-01-29,EgyptAir,Assiut,Consulting,Cloud Migration,105951,1,105951,Ahmed Mansour
EG-IT-1078,2023-08-17,Talaat Moustafa Group,Assiut,Software,ERP License (Arabic),2801,79,221279,Khaled Ibrahim
EG-IT-1079,2023-03-16,QNB Alahli,Assiut,Cybersecurity,Endpoint Protection,65400,8,523200,Yasmine Mahmoud
EG-IT-1080,2023-01-16,Fawry,Assiut,Software,HR & Payroll System,4543,52,236236,Mariam Zaki
EG-IT-1081,2023-09-10,QNB Alahli,Tanta,Hardware,Networking Switch,107186,15,1607790,Khaled Ibrahim
EG-IT-1082,2023-12-22,Fawry,Tanta,Cloud Services,Google Cloud Support,42234,4,168936,Mariam Zaki
EG-IT-1083,2023-06-10,Elsewedy Electric,Tanta,Cybersecurity,Penetration Testing License,21329,1,21329,Mohamed Ali
EG-IT-1084,2023-10-30,Raya Holding,Assiut,Cybersecurity,Endpoint Protection,50350,10,503500,Yasmine Mahmoud
EG-IT-1085,2023-07-25,Fawry,Hurghada,Software,HR & Payroll System,6265,44,275660,Mohamed Ali
EG-IT-1086,2023-03-24,Juhayna,Giza,Cybersecurity,Endpoint Protection,49999,4,199996,Sarah Hassan
EG-IT-1087,2023-04-02,QNB Alahli,Port Said,Hardware,Laptop Pro X1,129129,10,1291290,Khaled Ibrahim
EG-IT-1088,2023-04-11,Fawry,Giza,Cloud Services,AWS Storage,64688,6,388128,Khaled Ibrahim
EG-IT-1089,2023-05-26,Juhayna,Giza,Cybersecurity,Penetration Testing License,66625,7,466375,Mohamed Ali
EG-IT-1090,2023-03-13,Elsewedy Electric,Suez,Software,ERP License (Arabic),10383,10,103830,Sarah Hassan
EG-IT-1091,2023-12-16,Raya Holding,Assiut,Cybersecurity,Penetration Testing License,6642,4,26568,Yasmine Mahmoud
EG-IT-1092,2023-09-07,Juhayna,Assiut,Cybersecurity,Endpoint Protection,15070,8,120560,Mohamed Ali
EG-IT-1093,2023-11-21,Raya Holding,Hurghada,Cloud Services,Local Data Center Hosting,41820,9,376380,Sarah Hassan
EG-IT-1094,2023-12-29,Telecom Egypt,Suez,Cybersecurity,Endpoint Protection,13528,7,94696,Sarah Hassan
EG-IT-1095,2023-10-30,Banque Misr,Giza,Cybersecurity,Penetration Testing License,11088,2,22176,Ahmed Mansour
EG-IT-1096,2023-11-26,Fawry,Giza,Consulting,Digital Transformation Strategy,245241,1,245241,Mariam Zaki
EG-IT-1097,2023-12-20,Talaat Moustafa Group,Alexandria,Software,ERP License (Arabic),6924,24,166176,Sarah Hassan
EG-IT-1098,2023-05-30,Raya Holding,Mansoura,Hardware,Laptop Pro X1,26452,2,52904,Khaled Ibrahim
EG-IT-1099,2023-06-05,Elsewedy Electric,Giza,Cloud Services,AWS Storage,75881,9,682929,Ahmed Mansour
EG-IT-1100,2023-12-13,Juhayna,Alexandria,Consulting,Cloud Migration,130390,1,130390,Mariam Zaki
EG-IT-1101,2023-02-08,Raya Holding,Suez,Cybersecurity,Endpoint Protection,18659,7,130613,Ahmed Mansour
EG-IT-1102,2023-01-01,Orascom Development,Hurghada,Hardware,Server Rack v2,51127,8,409016,Mohamed Ali
EG-IT-1103,2023-08-15,Raya Holding,Giza,Cloud Services,Google Cloud Support,68085,2,136170,Ahmed Mansour
EG-IT-1104,2023-05-22,Telecom Egypt,Assiut,Consulting,Cloud Migration,171794,1,171794,Khaled Ibrahim
EG-IT-1105,2023-08-26,Juhayna,Suez,Cybersecurity,Endpoint Protection,62876,7,440132,Sarah Hassan
EG-IT-1106,2023-10-10,Banque Misr,Giza,Cybersecurity,Firewall License,8637,7,60459,Khaled Ibrahim
EG-IT-1107,2023-11-23,EgyptAir,Assiut,Consulting,IT Security Audit,266649,1,266649,Khaled Ibrahim
EG-IT-1108,2023-07-28,Telecom Egypt,Giza,Cloud Services,Local Data Center Hosting,38038,9,342342,Yasmine Mahmoud
EG-IT-1109,2023-02-11,Elsewedy Electric,Suez,Software,ERP License (Arabic),6837,5,34185,Mohamed Ali
EG-IT-1110,2023-07-02,Talaat Moustafa Group,Port Said,Cloud Services,AWS Storage,58351,6,350106,Yasmine Mahmoud
EG-IT-1111,2023-06-26,Talaat Moustafa Group,Tanta,Cloud Services,Azure Managed Svcs,41611,10,416110,Sarah Hassan
EG-IT-1112,2023-04-26,Juhayna,Mansoura,Cybersecurity,Penetration Testing License,73924,9,665316,Khaled Ibrahim
EG-IT-1113,2023-01-18,Orascom Development,Mansoura,Software,CRM Subscription,5249,74,388426,Mariam Zaki
EG-IT-1114,2023-10-03,Orascom Development,Port Said,Cloud Services,Azure Managed Svcs,65895,10,658950,Khaled Ibrahim
EG-IT-1115,2023-02-18,Juhayna,Hurghada,Cybersecurity,Firewall License,12911,1,12911,Khaled Ibrahim
EG-IT-1116,2023-03-19,Fawry,Port Said,Cybersecurity,Firewall License,63306,8,506448,Mohamed Ali
EG-IT-1117,2023-08-23,Raya Holding,Suez,Consulting,Cloud Migration,106230,1,106230,Yasmine Mahmoud
EG-IT-1118,2023-05-30,Orascom Development,Giza,Consulting,Digital Transformation Strategy,154327,1,154327,Yasmine Mahmoud
EG-IT-1119,2023-01-11,EgyptAir,Assiut,Hardware,Networking Switch,22291,20,445820,Ahmed Mansour
EG-IT-1120,2023-12-11,Banque Misr,Suez,Hardware,UPS Backup System,34674,13,450762,Ahmed Mansour
EG-IT-1121,2023-07-10,Talaat Moustafa Group,Assiut,Cloud Services,Google Cloud Support,56604,4,226416,Mariam Zaki
EG-IT-1122,2023-11-22,Elsewedy Electric,Giza,Cloud Services,Azure Managed Svcs,69381,4,277524,Ahmed Mansour
EG-IT-1123,2023-11-30,Raya Holding,Cairo,Cybersecurity,Penetration Testing License,23775,10,237750,Khaled Ibrahim
EG-IT-1124,2023-02-13,Telecom Egypt,Alexandria,Hardware,Laptop Pro X1,54320,16,869120,Yasmine Mahmoud
EG-IT-1125,2023-02-25,CIB Bank,Giza,Cybersecurity,Firewall License,56719,10,567190,Khaled Ibrahim
EG-IT-1126,2023-05-16,Raya Holding,Suez,Cloud Services,Azure Managed Svcs,7335,5,36675,Yasmine Mahmoud
EG-IT-1127,2023-11-25,Orascom Development,Tanta,Cybersecurity,Penetration Testing License,78462,2,156924,Mohamed Ali
EG-IT-1128,2023-12-23,Telecom Egypt,Tanta,Cloud Services,Google Cloud Support,47841,5,239205,Mariam Zaki
EG-IT-1129,2023-04-08,Telecom Egypt,Alexandria,Cloud Services,Local Data Center Hosting,23766,6,142596,Mohamed Ali
EG-IT-1130,2023-06-18,Orascom Development,Mansoura,Software,Project Mgmt Tool,7474,36,269064,Mohamed Ali
EG-IT-1131,2023-10-21,Orascom Development,Mansoura,Hardware,Server Rack v2,121286,9,1091574,Ahmed Mansour
EG-IT-1132,2023-06-02,QNB Alahli,Mansoura,Cloud Services,Azure Managed Svcs,38627,8,309016,Ahmed Mansour
EG-IT-1133,2023-06-20,Talaat Moustafa Group,Assiut,Consulting,Digital Transformation Strategy,71792,1,71792,Sarah Hassan
EG-IT-1134,2023-05-28,Banque Misr,Port Said,Hardware,UPS Backup System,80646,16,1290336,Mohamed Ali
EG-IT-1135,2023-04-10,Banque Misr,Suez,Cloud Services,Local Data Center Hosting,75385,6,452310,Sarah Hassan
EG-IT-1136,2023-05-25,Orascom Development,Tanta,Cloud Services,Local Data Center Hosting,49942,3,149826,Mariam Zaki
EG-IT-1137,2023-04-20,Banque Misr,Alexandria,Cloud Services,Local Data Center Hosting,54290,5,271450,Sarah Hassan
EG-IT-1138,2023-08-31,Elsewedy Electric,Hurghada,Consulting,Digital Transformation Strategy,265206,1,265206,Sarah Hassan
EG-IT-1139,2023-12-22,Orascom Development,Suez,Hardware,Networking Switch,73607,4,294428,Sarah Hassan
EG-IT-1140,2023-02-23,QNB Alahli,Giza,Cybersecurity,Endpoint Protection,28725,10,287250,Khaled Ibrahim
EG-IT-1141,2023-10-24,Raya Holding,Port Said,Cloud Services,Google Cloud Support,21771,1,21771,Mariam Zaki
EG-IT-1142,2023-12-01,Juhayna,Alexandria,Software,CRM Subscription,11437,48,548976,Ahmed Mansour
EG-IT-1143,2023-03-12,Talaat Moustafa Group,Assiut,Cybersecurity,Penetration Testing License,5497,3,16491,Ahmed Mansour
EG-IT-1144,2023-03-02,Elsewedy Electric,Port Said,Cloud Services,Azure Managed Svcs,63246,4,252984,Sarah Hassan
EG-IT-1145,2023-11-28,EgyptAir,Assiut,Consulting,Cloud Migration,266024,1,266024,Yasmine Mahmoud
EG-IT-1146,2023-02-14,Talaat Moustafa Group,Port Said,Software,CRM Subscription,6154,99,609246,Mariam Zaki
EG-IT-1147,2023-02-11,Raya Holding,Port Said,Cybersecurity,Firewall License,27787,1,27787,Mariam Zaki
EG-IT-1148,2023-03-27,Fawry,Hurghada,Cybersecurity,Penetration Testing License,6674,1,6674,Mohamed Ali
EG-IT-1149,2023-05-26,Juhayna,Mansoura,Consulting,Cloud Migration,116946,1,116946,Mohamed Ali
EG-IT-1150,2023-01-18,Orascom Development,Alexandria,Cloud Services,AWS Storage,7220,6,43320,Ahmed Mansour
EG-IT-1151,2023-01-09,QNB Alahli,Assiut,Cloud Services,Google Cloud Support,23093,4,92372,Mariam Zaki
EG-IT-1152,2023-09-13,EgyptAir,Port Said,Hardware,Laptop Pro X1,94295,4,377180,Yasmine Mahmoud
EG-IT-1153,2023-11-27,EgyptAir,Giza,Software,CRM Subscription,2462,40,98480,Sarah Hassan
EG-IT-1154,2023-07-07,Fawry,Cairo,Software,CRM Subscription,3164,78,246792,Mariam Zaki
EG-IT-1155,2023-02-16,Orascom Development,Port Said,Hardware,UPS Backup System,74212,6,445272,Yasmine Mahmoud
EG-IT-1156,2023-08-23,Orascom Development,Assiut,Consulting,IT Security Audit,105050,1,105050,Sarah Hassan
EG-IT-1157,2023-01-21,Talaat Moustafa Group,Cairo,Cybersecurity,Endpoint Protection,34179,2,68358,Mariam Zaki
EG-IT-1158,2023-07-14,Elsewedy Electric,Tanta,Consulting,Cloud Migration,155076,1,155076,Mohamed Ali
EG-IT-1159,2023-10-13,CIB Bank,Assiut,Hardware,Laptop Pro X1,124140,8,993120,Mohamed Ali
EG-IT-1160,2023-04-30,Banque Misr,Assiut,Consulting,IT Security Audit,162655,1,162655,Mohamed Ali
EG-IT-1161,2023-07-09,Juhayna,Tanta,Cybersecurity,Firewall License,79316,6,475896,Mohamed Ali
EG-IT-1162,2023-05-05,Juhayna,Hurghada,Hardware,UPS Backup System,25430,18,457740,Ahmed Mansour
EG-IT-1163,2023-03-10,Raya Holding,Port Said,Consulting,Digital Transformation Strategy,107884,1,107884,Khaled Ibrahim
EG-IT-1164,2023-07-31,EgyptAir,Mansoura,Consulting,IT Security Audit,109892,1,109892,Mariam Zaki
EG-IT-1165,2023-01-02,Orascom Development,Port Said,Hardware,UPS Backup System,130256,5,651280,Ahmed Mansour
EG-IT-1166,2023-10-04,Fawry,Assiut,Software,CRM Subscription,13425,77,1033725,Sarah Hassan
EG-IT-1167,2023-02-19,Telecom Egypt,Mansoura,Cloud Services,Local Data Center Hosting,74928,8,599424,Yasmine Mahmoud
EG-IT-1168,2023-08-17,Elsewedy Electric,Giza,Cybersecurity,Penetration Testing License,79060,6,474360,Sarah Hassan
EG-IT-1169,2023-09-09,Banque Misr,Hurghada,Cloud Services,Google Cloud Support,22835,3,68505,Sarah Hassan
EG-IT-1170,2023-12-13,EgyptAir,Giza,Software,ERP License (Arabic),5962,14,83468,Khaled Ibrahim
EG-IT-1171,2023-11-14,Banque Misr,Alexandria,Consulting,IT Security Audit,93353,1,93353,Sarah Hassan
EG-IT-1172,2023-07-13,Elsewedy Electric,Hurghada,Cloud Services,Google Cloud Support,57473,6,344838,Khaled Ibrahim
EG-IT-1173,2023-02-04,Banque Misr,Cairo,Cybersecurity,Endpoint Protection,59802,9,538218,Yasmine Mahmoud
EG-IT-1174,2023-06-28,CIB Bank,Alexandria,Cybersecurity,Firewall License,33934,5,169670,Mohamed Ali
EG-IT-1175,2023-03-12,Banque Misr,Tanta,Hardware,Server Rack v2,21159,6,126954,Sarah Hassan
EG-IT-1176,2023-06-11,QNB Alahli,Suez,Cybersecurity,Firewall License,9497,8,75976,Sarah Hassan
EG-IT-1177,2023-12-01,Fawry,Mansoura,Consulting,IT Security Audit,153591,1,153591,Ahmed Mansour
EG-IT-1178,2023-08-14,QNB Alahli,Port Said,Consulting,Digital Transformation Strategy,123528,1,123528,Sarah Hassan
EG-IT-1179,2023-03-03,Talaat Moustafa Group,Giza,Cloud Services,AWS Storage,78514,4,314056,Mariam Zaki
EG-IT-1180,2023-07-20,Juhayna,Port Said,Hardware,Laptop Pro X1,75907,6,455442,Khaled Ibrahim
EG-IT-1181,2023-06-04,Fawry,Suez,Software,Project Mgmt Tool,4947,40,197880,Yasmine Mahmoud
EG-IT-1182,2023-11-26,Fawry,Assiut,Cybersecurity,Endpoint Protection,27084,7,189588,Mariam Zaki
EG-IT-1183,2023-01-14,Telecom Egypt,Mansoura,Consulting,IT Security Audit,150874,1,150874,Ahmed Mansour
EG-IT-1184,2023-03-06,Fawry,Cairo,Software,HR & Payroll System,6736,85,572560,Mariam Zaki
EG-IT-1185,2023-02-24,Raya Holding,Assiut,Cloud Services,Google Cloud Support,58550,8,468400,Yasmine Mahmoud
EG-IT-1186,2023-04-05,Elsewedy Electric,Giza,Cybersecurity,Endpoint Protection,12683,8,101464,Mohamed Ali
EG-IT-1187,2023-06-20,Elsewedy Electric,Hurghada,Hardware,Server Rack v2,61099,18,1099782,Sarah Hassan
EG-IT-1188,2023-08-16,Juhayna,Mansoura,Cybersecurity,Firewall License,49522,10,495220,Khaled Ibrahim
EG-IT-1189,2023-01-14,QNB Alahli,Alexandria,Software,HR & Payroll System,12083,10,120830,Sarah Hassan
EG-IT-1190,2023-04-20,Telecom Egypt,Port Said,Hardware,Server Rack v2,67582,18,1216476,Mariam Zaki
EG-IT-1191,2023-07-04,CIB Bank,Hurghada,Software,HR & Payroll System,1408,57,80256,Khaled Ibrahim
EG-IT-1192,2023-07-22,Juhayna,Hurghada,Hardware,UPS Backup System,20535,4,82140,Yasmine Mahmoud
EG-IT-1193,2023-03-13,QNB Alahli,Giza,Cloud Services,Azure Managed Svcs,75315,9,677835,Sarah Hassan
EG-IT-1194,2023-05-05,CIB Bank,Tanta,Cloud Services,Google Cloud Support,55321,5,276605,Khaled Ibrahim
EG-IT-1195,2023-03-08,Elsewedy Electric,Hurghada,Hardware,Server Rack v2,42344,5,211720,Ahmed Mansour
EG-IT-1196,2023-10-14,EgyptAir,Alexandria,Consulting,IT Security Audit,273851,1,273851,Khaled Ibrahim
EG-IT-1197,2023-09-11,EgyptAir,Suez,Hardware,Laptop Pro X1,136324,17,2317508,Mariam Zaki
EG-IT-1198,2023-06-20,Telecom Egypt,Suez,Hardware,Networking Switch,26932,14,377048,Khaled Ibrahim
EG-IT-1199,2023-06-02,Orascom Development,Cairo,Cloud Services,AWS Storage,37731,9,339579,Khaled Ibrahim
EG-IT-1200,2023-03-22,Raya Holding,Mansoura,Cybersecurity,Penetration Testing License,57308,9,515772,Ahmed Mansour
EG-IT-1201,2023-03-05,EgyptAir,Cairo,Consulting,Cloud Migration,79788,1,79788,Mohamed Ali
EG-IT-1202,2023-07-12,Telecom Egypt,Alexandria,Cybersecurity,Penetration Testing License,66307,7,464149,Ahmed Mansour
EG-IT-1203,2023-10-24,Telecom Egypt,Alexandria,Software,Project Mgmt Tool,10737,15,161055,Khaled Ibrahim
EG-IT-1204,2023-06-09,CIB Bank,Suez,Cloud Services,Azure Managed Svcs,51245,9,461205,Ahmed Mansour
EG-IT-1205,2023-03-11,Fawry,Assiut,Hardware,Networking Switch,24613,16,393808,Yasmine Mahmoud
EG-IT-1206,2023-01-11,CIB Bank,Cairo,Hardware,UPS Backup System,133225,11,1465475,Yasmine Mahmoud
EG-IT-1207,2023-11-10,Elsewedy Electric,Suez,Consulting,IT Security Audit,269761,1,269761,Mohamed Ali
EG-IT-1208,2023-10-06,Fawry,Hurghada,Hardware,Server Rack v2,22601,14,316414,Mariam Zaki
EG-IT-1209,2023-09-12,Elsewedy Electric,Suez,Software,ERP License (Arabic),9862,73,719926,Ahmed Mansour
EG-IT-1210,2023-08-22,Telecom Egypt,Port Said,Cybersecurity,Penetration Testing License,13071,6,78426,Mariam Zaki
EG-IT-1211,2023-09-26,Banque Misr,Hurghada,Consulting,IT Security Audit,91118,1,91118,Mariam Zaki
EG-IT-1212,2023-01-10,Fawry,Giza,Cloud Services,Local Data Center Hosting,53266,1,53266,Sarah Hassan
EG-IT-1213,2023-02-09,EgyptAir,Suez,Cybersecurity,Endpoint Protection,16392,7,114744,Khaled Ibrahim
EG-IT-1214,2023-09-16,Telecom Egypt,Mansoura,Cloud Services,AWS Storage,72767,10,727670,Yasmine Mahmoud
EG-IT-1215,2023-06-11,EgyptAir,Suez,Software,ERP License (Arabic),10456,86,899216,Sarah Hassan
EG-IT-1216,2023-09-23,QNB Alahli,Suez,Hardware,Networking Switch,146248,4,584992,Yasmine Mahmoud
EG-IT-1217,2023-09-25,Orascom Development,Port Said,Hardware,UPS Backup System,74550,3,223650,Yasmine Mahmoud
EG-IT-1218,2023-01-12,QNB Alahli,Tanta,Cloud Services,Local Data Center Hosting,14483,9,130347,Mariam Zaki
EG-IT-1219,2023-12-12,CIB Bank,Cairo,Cybersecurity,Penetration Testing License,27424,9,246816,Sarah Hassan
EG-IT-1220,2023-08-27,Fawry,Alexandria,Consulting,IT Security Audit,90499,1,90499,Yasmine Mahmoud
EG-IT-1221,2023-10-02,Banque Misr,Hurghada,Consulting,Digital Transformation Strategy,103581,1,103581,Yasmine Mahmoud
EG-IT-1222,2023-02-17,Juhayna,Cairo,Software,ERP License (Arabic),3347,30,100410,Yasmine Mahmoud
EG-IT-1223,2023-01-13,Banque Misr,Cairo,Software,ERP License (Arabic),4820,60,289200,Mariam Zaki
EG-IT-1224,2023-06-11,Juhayna,Giza,Consulting,Cloud Migration,138927,1,138927,Sarah Hassan
EG-IT-1225,2023-05-14,Elsewedy Electric,Alexandria,Cybersecurity,Endpoint Protection,70565,2,141130,Sarah Hassan
EG-IT-1226,2023-07-03,Banque Misr,Alexandria,Cloud Services,Local Data Center Hosting,58848,6,353088,Yasmine Mahmoud
